WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
{"step": 1, "train_action_l1_loss": 0.1828300654888153, "total_loss": 74.01428985595703, "val_action_l1_loss": 0.6158976048231125, "val_total_loss": 46.35845317840576, "learning_rate": 0.0001, "time_per_step": 1.7562374549452215}
{"step": 100, "train_action_l1_loss": 0.08141545951366425, "total_loss": 1.4604402780532837, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.17359040211886168}
{"step": 200, "train_action_l1_loss": 0.07981003075838089, "total_loss": 0.7391798496246338, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20680646994151175}
{"step": 300, "train_action_l1_loss": 0.06441774219274521, "total_loss": 0.4331590533256531, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.21133681503124535}
{"step": 400, "train_action_l1_loss": 0.06536462157964706, "total_loss": 0.30045709013938904, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19329515798017383}
{"step": 500, "train_action_l1_loss": 0.06730864197015762, "total_loss": 0.22682467103004456, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1976328957825899}
{"step": 600, "train_action_l1_loss": 0.06607867777347565, "total_loss": 0.1949944943189621, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20132950297556818}
{"step": 700, "train_action_l1_loss": 0.06086217984557152, "total_loss": 0.174282506108284, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19938326603733003}
{"step": 800, "train_action_l1_loss": 0.06257914006710052, "total_loss": 0.14652538299560547, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19793802010826766}
{"step": 900, "train_action_l1_loss": 0.05493014678359032, "total_loss": 0.13197249174118042, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19343530386686325}
{"step": 1000, "train_action_l1_loss": 0.05670732632279396, "total_loss": 0.1149703711271286, "val_action_l1_loss": 0.05863984003663063, "val_total_loss": 0.12345708198845387, "learning_rate": 0.0001, "time_per_step": 0.19312911992892623}
{"step": 1100, "train_action_l1_loss": 0.055940642952919006, "total_loss": 0.12882865965366364, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19908623211085796}
{"step": 1200, "train_action_l1_loss": 0.05455523356795311, "total_loss": 0.11508415639400482, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2003351750317961}
{"step": 1300, "train_action_l1_loss": 0.0577116385102272, "total_loss": 0.09897476434707642, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20265056286007166}
{"step": 1400, "train_action_l1_loss": 0.055923689156770706, "total_loss": 0.09635663032531738, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.198719137115404}
{"step": 1500, "train_action_l1_loss": 0.05790763720870018, "total_loss": 0.10283277183771133, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19712836295366287}
{"step": 1600, "train_action_l1_loss": 0.051954008638858795, "total_loss": 0.0980939120054245, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19712099712342024}
{"step": 1700, "train_action_l1_loss": 0.05708851292729378, "total_loss": 0.0925227627158165, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19416656298562884}
{"step": 1800, "train_action_l1_loss": 0.05258512124419212, "total_loss": 0.08176903426647186, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2062886820640415}
{"step": 1900, "train_action_l1_loss": 0.054781004786491394, "total_loss": 0.08657845109701157, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19770726095885038}
