WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
{"step": 1, "train_action_l1_loss": 0.17646953463554382, "total_loss": 73.79882049560547, "val_action_l1_loss": 0.5215652003884316, "val_total_loss": 61.02170333862305, "learning_rate": 0.0001, "time_per_step": 2.3675914800260216}
{"step": 100, "train_action_l1_loss": 0.08115556836128235, "total_loss": 1.4016071557998657, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1996726170182228}
{"step": 200, "train_action_l1_loss": 0.0813973993062973, "total_loss": 0.7985401153564453, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19811916491016746}
{"step": 300, "train_action_l1_loss": 0.07009164988994598, "total_loss": 0.452309787273407, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1989758019335568}
{"step": 400, "train_action_l1_loss": 0.07825814187526703, "total_loss": 0.31054723262786865, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19263782096095383}
{"step": 500, "train_action_l1_loss": 0.06777042895555496, "total_loss": 0.250948041677475, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19544846704229712}
{"step": 600, "train_action_l1_loss": 0.059177856892347336, "total_loss": 0.16879160702228546, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20104751596227288}
{"step": 700, "train_action_l1_loss": 0.059796590358018875, "total_loss": 0.17107418179512024, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2083749040029943}
{"step": 800, "train_action_l1_loss": 0.057087238878011703, "total_loss": 0.17912688851356506, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.22322615003213286}
{"step": 900, "train_action_l1_loss": 0.061884257942438126, "total_loss": 0.14394314587116241, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19856948521919549}
{"step": 1000, "train_action_l1_loss": 0.05526287108659744, "total_loss": 0.14417937397956848, "val_action_l1_loss": 0.062350190430879596, "val_total_loss": 0.1383577346801758, "learning_rate": 0.0001, "time_per_step": 0.20735534420236945}
{"step": 1100, "train_action_l1_loss": 0.0666516125202179, "total_loss": 0.12113603949546814, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2057355612050742}
{"step": 1200, "train_action_l1_loss": 0.060363125056028366, "total_loss": 0.13099342584609985, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19761796901002526}
{"step": 1300, "train_action_l1_loss": 0.05608237162232399, "total_loss": 0.11251300573348999, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20416736882179976}
