WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
{"step": 1, "train_action_l1_loss": 0.15082035958766937, "total_loss": 103.41085052490234, "val_action_l1_loss": 0.620320251584053, "val_total_loss": 56.128767776489255, "learning_rate": 0.0001, "time_per_step": 1.4715352691709995}
{"step": 100, "train_action_l1_loss": 0.08213062584400177, "total_loss": 1.4042000770568848, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.170350014930591}
{"step": 200, "train_action_l1_loss": 0.07298161834478378, "total_loss": 0.7712850570678711, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.22966110217384994}
{"step": 300, "train_action_l1_loss": 0.08061394840478897, "total_loss": 0.4242820739746094, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2037223728839308}
{"step": 400, "train_action_l1_loss": 0.06805990636348724, "total_loss": 0.32346242666244507, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.194909674115479}
{"step": 500, "train_action_l1_loss": 0.06104813143610954, "total_loss": 0.23296360671520233, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2046688450500369}
{"step": 600, "train_action_l1_loss": 0.06363991647958755, "total_loss": 0.19050559401512146, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19147366099059582}
{"step": 700, "train_action_l1_loss": 0.06163451075553894, "total_loss": 0.16411855816841125, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.21464547188952565}
{"step": 800, "train_action_l1_loss": 0.06470523029565811, "total_loss": 0.15866300463676453, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20896044210530818}
{"step": 900, "train_action_l1_loss": 0.059366509318351746, "total_loss": 0.12984667718410492, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1928133349865675}
{"step": 1000, "train_action_l1_loss": 0.05569706857204437, "total_loss": 0.11604318022727966, "val_action_l1_loss": 0.05824482776224613, "val_total_loss": 0.12841469049453735, "learning_rate": 0.0001, "time_per_step": 0.2060867107938975}
{"step": 1100, "train_action_l1_loss": 0.059715352952480316, "total_loss": 0.13419976830482483, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19565231492742896}
{"step": 1200, "train_action_l1_loss": 0.06174276024103165, "total_loss": 0.11299087107181549, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2007295060902834}
