WARNING:lerobot.configs.policies:Device 'None' is not available. Switching to 'cuda'.
{"step": 1, "train_action_l1_loss": 0.18642576038837433, "total_loss": 76.70560455322266, "val_action_l1_loss": 0.622723713517189, "val_total_loss": 56.59631080627442, "learning_rate": 0.0001, "time_per_step": 2.0248356291558594}
{"step": 100, "train_action_l1_loss": 0.08542998880147934, "total_loss": 1.3859330415725708, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19463506201282144}
{"step": 200, "train_action_l1_loss": 0.07451886683702469, "total_loss": 0.7456496357917786, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20610326598398387}
{"step": 300, "train_action_l1_loss": 0.07224609702825546, "total_loss": 0.396954208612442, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19845180795527995}
{"step": 400, "train_action_l1_loss": 0.06601355224847794, "total_loss": 0.26243239641189575, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20729029295034707}
{"step": 500, "train_action_l1_loss": 0.07082025706768036, "total_loss": 0.25039130449295044, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.1963916691020131}
{"step": 600, "train_action_l1_loss": 0.06290854513645172, "total_loss": 0.19342760741710663, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.19751675007864833}
{"step": 700, "train_action_l1_loss": 0.06015985831618309, "total_loss": 0.15676872432231903, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20037590293213725}
{"step": 800, "train_action_l1_loss": 0.06909486651420593, "total_loss": 0.155251607298851, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.20165396900847554}
{"step": 900, "train_action_l1_loss": 0.05530140548944473, "total_loss": 0.1193409189581871, "val_action_l1_loss": "", "val_total_loss": "", "learning_rate": 0.0001, "time_per_step": 0.2117828489281237}
{"step": 1000, "train_action_l1_loss": 0.06430289894342422, "total_loss": 0.12471406906843185, "val_action_l1_loss": 0.0601759048178792, "val_total_loss": 0.12337020710110665, "learning_rate": 0.0001, "time_per_step": 0.19726421381346881}
